Date,Open,High,Low,Close,Adj Close,Volume
2022-11-25,82.849998,83.489998,82.540001,82.720001,82.067314,2754900
2022-11-28,82.110001,82.139999,81.070000,81.389999,80.747810,5112200
2022-11-29,81.330002,81.500000,80.519997,80.849998,80.212074,4928200
2022-11-30,80.470001,83.180000,80.000000,83.029999,82.374870,9610300
2022-12-01,83.050003,84.529999,82.349998,84.110001,83.446350,6127200
2022-12-02,83.199997,83.620003,82.580002,83.349998,82.692345,4798900
2022-12-05,82.410004,82.419998,79.410004,79.430000,78.803276,9102900
2022-12-06,79.349998,79.820000,78.059998,78.910004,78.287384,7656100
2022-12-07,78.669998,79.440002,78.580002,78.779999,78.158401,5105500
2022-12-08,79.129997,80.209999,78.529999,80.070000,79.438225,5918700
2022-12-09,79.650002,80.360001,79.540001,79.860001,79.229889,6850800
2022-12-12,80.309998,81.410004,79.940002,81.279999,80.638672,15807600
2022-12-13,84.940002,85.580002,79.699997,80.559998,79.924355,22812200
2022-12-14,80.809998,82.889999,80.570000,81.820000,81.174416,11183100
2022-12-15,80.790001,81.029999,79.459999,80.070000,79.438225,8196800
2022-12-16,79.959999,80.459999,79.480003,79.580002,78.952095,19200700
2022-12-19,79.919998,81.099998,79.680000,80.500000,79.864838,7738800
2022-12-20,80.500000,81.489998,80.349998,80.940002,80.301361,6390200
2022-12-21,81.349998,82.139999,80.940002,81.500000,80.856941,5932400
2022-12-22,80.940002,81.169998,79.430000,80.489998,79.854912,8181400
2022-12-23,80.510002,80.900002,79.989998,80.849998,80.212074,4129100
2022-12-27,80.879997,81.470001,80.610001,80.980003,80.341049,4290700
2022-12-28,81.089996,81.639999,80.190002,80.330002,79.696182,3794000
2022-12-29,80.970001,81.800003,80.699997,81.400002,80.757736,3867800
2022-12-30,81.129997,81.930000,80.760002,81.739998,81.095047,5375700
2023-01-03,82.470001,83.839996,82.260002,83.720001,83.059433,8997500
2023-01-04,84.199997,85.169998,83.639999,84.480003,83.813431,7836200
2023-01-05,85.000000,85.400002,83.220001,84.309998,83.644768,7643800
2023-01-06,84.739998,86.339996,83.820000,85.660004,84.984123,8641600
2023-01-09,86.839996,87.589996,86.160004,86.419998,86.059616,7519700
2023-01-10,85.639999,86.610001,85.570000,86.500000,86.139282,5703300
2023-01-11,87.370003,88.660004,87.089996,88.599998,88.230522,8359700
